旅客列车梯形密度表（ 日均 ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  始发日期： 20150108—20150108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K11 ZD074—ZD190-02 开行 1 天 日均定员： 1171 客座率： 81.0 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD074,ZD219,ZD054,ZD036,ZD313,ZD064,ZD222,ZD023,ZD139,ZD244,ZD215,ZD280,ZD032,ZD066,ZD125,ZD092,ZD205,ZD235,ZD240,ZD134,ZD020,ZD017,ZD304,ZD293,ZD111-02,ZD326,ZD250,下车人数合计,,,,,,,,
G20 ZD209—ZD190-01 开行 1 天 日均定员： 1005 客座率： 79.0 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD209,ZD224,ZD024,ZD318,ZD172,ZD006,ZD287,ZD231,ZD111-01,ZD326,ZD250,ZD190-02,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,09:08,09:33,09:57,10:17,10:38,11:22,12:03,12:55,13:22,14:06,14:44,15:42,,,,,,,,,,,,,,,,,,,,,,,,
ZD209,09:08, ,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,
ZD224,09:31,52, ,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,
ZD024,09:55,99,2, ,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,
ZD318,10:15,18,1,3, ,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,
ZD172,10:36,48,24,10,4, ,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,
ZD006,11:20,30,15,4,7,21, ,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,
ZD287,11:59,14,36,17,9,12,9, ,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,
ZD231,12:54,20,6,5,7,7,,4, ,,,,,49,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,13:18,62,22,9,6,18,9,16,38, ,,,,180,,,,,,,,,,,,,,,,,,,,,,,
ZD326,14:04,78,37,13,3,55,6,5,11,34, ,,,242,,,,,,,,,,,,,,,,,,,,,,,
ZD250,14:42,97,50,28,18,34,10,13,36,43,10, ,,339,,,,,,,,,,,,,,,,,,,,,,,
ZD190-02,15:41,4,2,8,,,2,1,9,59,16,21, ,122,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,16:02,55,40,24,7,39,15,11,34,87,27,38,9,386,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,577,235,121,61,186,51,50,128,223,53,59,9,1753,,,,,,,,,,,,,,,,,,,,,,,
G21 ZD209—ZD190-01 开行 1 天 日均定员： 1005 客座率： 39.5 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD209,ZD318,ZD172,ZD287,ZD239,ZD111-01,ZD326,ZD192,ZD250,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,16:32,17:26,17:47,19:03,19:29,20:21,21:04,21:24,21:47,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD209,16:32, ,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD318,17:25,30,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD172,17:45,65,20, ,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD287,19:01,17,13,48, ,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD239,19:28,8,3,5,4, ,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,20:19,34,3,19,8,24, ,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,21:03,59,10,47,16,4,47, ,,,183,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD192,21:23,30,2,17,1,6,15,1, ,,72,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,21:45,62,20,46,10,3,53,6,1, ,201,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,23:00,24,7,18,8,2,51,9,2,6,127,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,329,78,200,47,39,166,16,3,6,884,,,,,,,,,,,,,,,,,,,,,,,,,,
G22 ZD081—ZD190-01 开行 1 天 日均定员： 480 客座率： 53.6 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD081,ZD221,ZD006,ZD287,ZD194,ZD231,ZD111-01,ZD326,ZD250,ZD190-02,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,14:40,15:04,15:29,16:12,16:54,17:14,17:43,18:26,19:03,20:02,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD081,14:40, ,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
ZD221,15:02,9, ,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
ZD006,15:25,90,4, ,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,
ZD287,16:05,25,3,3, ,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,
ZD194,16:49,8,,2,7, ,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,
ZD231,17:13,14,,1,12,17, ,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,17:37,31,1,7,13,33,49, ,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,18:25,21,,6,16,16,15,43, ,,,117,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,19:02,17,,2,19,13,18,36,16, ,,121,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-02,20:00,3,,1,,7,3,14,5,1, ,34,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,20:22,18,,1,7,27,18,70,30,23,1,195,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,236,8,23,74,113,103,163,51,24,1,796,,,,,,,,,,,,,,,,,,,,,,,,,
G23 ZD081—ZD190-01 开行 1 天 日均定员： 480 客座率： 57.5 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD081,ZD099,ZD006,ZD287,ZD308,ZD194,ZD111-01,ZD326,ZD250,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,07:00,07:28,07:48,08:26,08:45,09:10,09:49,10:34,11:12,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD081,07:00, ,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD099,07:26,22, ,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD006,07:45,43,7, ,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD287,08:24,29,5,4, ,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD308,08:44,6,3,1,12, ,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD194,09:09,1,1,1,7,20, ,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,09:47,28,9,4,11,43,48, ,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,10:32,12,5,5,11,3,9,25, ,,70,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,11:10,15,10,9,9,6,29,50,23, ,151,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,12:26,23,9,7,12,6,41,105,21,27,251,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,179,49,31,62,78,127,180,44,27,777,,,,,,,,,,,,,,,,,,,,,,,,,,
G24 ZD080—ZD190-01 开行 1 天 日均定员： 1005 客座率： 43.2 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD080,ZD094,ZD298,ZD148,ZD147,ZD172,ZD031,ZD287,ZD239,ZD231,ZD111-01,ZD326,ZD250,ZD062,下车人数合计,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,07:00,07:23,07:42,07:55,08:13,08:37,08:57,10:00,10:28,11:00,11:28,12:11,12:48,13:25,,,,,,,,,,,,,,,,,,,,,,
ZD080,07:00, ,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,
ZD094,07:21,13, ,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,
ZD298,07:40,,1, ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
ZD148,07:53,6,1,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,
ZD147,08:11,1,1,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
ZD172,08:30,43,6,46,137,8, ,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,
ZD031,08:55,28,1,3,,,17, ,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,
ZD287,09:58,15,5,5,7,2,18,5, ,,,,,,,57,,,,,,,,,,,,,,,,,,,,,
ZD239,10:26,10,6,4,2,,6,2,5, ,,,,,,35,,,,,,,,,,,,,,,,,,,,,
ZD231,10:58,9,,3,2,,8,,6,12, ,,,,,40,,,,,,,,,,,,,,,,,,,,,
ZD111-01,11:24,12,,7,5,,12,8,7,34,53, ,,,,138,,,,,,,,,,,,,,,,,,,,,
ZD326,12:10,46,4,23,10,,15,6,6,2,38,33, ,,,183,,,,,,,,,,,,,,,,,,,,,
ZD250,12:47,35,3,9,,,21,5,10,19,42,55,29, ,,228,,,,,,,,,,,,,,,,,,,,,
ZD062,13:15,5,2,,,1,6,,2,,7,46,5,54, ,128,,,,,,,,,,,,,,,,,,,,,
ZD190-01,14:16,29,5,8,11,1,19,5,3,15,44,41,27,14,46,268,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,252,35,109,174,12,122,31,39,82,184,175,61,68,46,1390,,,,,,,,,,,,,,,,,,,,,
G27 ZD080—ZD190-01 开行 1 天 日均定员： 480 客座率： 75.2 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD080,ZD094,ZD317,ZD298,ZD148,ZD147,ZD172,ZD031,ZD285,ZD287,ZD308,ZD231,ZD111-01,ZD326,ZD192,ZD250,下车人数合计,,,,,,,,,,,,,,,,,,,
下车站,开/到点,14:04,14:27,14:38,14:53,15:06,15:25,15:50,16:09,16:57,17:23,17:44,18:33,18:59,19:43,20:04,20:27,,,,,,,,,,,,,,,,,,,,
ZD080,14:04, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,
ZD094,14:25,25, ,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,
ZD317,14:36,15,, ,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,
ZD298,14:51,33,3,4, ,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,
ZD148,15:04,8,,1,3, ,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,
ZD147,15:22,3,,,4,1,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,
ZD172,15:42,47,3,2,14,8,4, ,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,
ZD031,16:08,30,1,1,2,1,3,29, ,,,,,,,,,67,,,,,,,,,,,,,,,,,,,
ZD285,16:55,22,9,1,1,4,1,16,5, ,,,,,,,,59,,,,,,,,,,,,,,,,,,,
ZD287,17:16,21,1,3,4,11,3,7,11,, ,,,,,,,61,,,,,,,,,,,,,,,,,,,
ZD308,17:41,24,,,3,1,,,,2,9, ,,,,,,39,,,,,,,,,,,,,,,,,,,
ZD231,18:22,8,,,2,,,6,,,3,6, ,,,,,25,,,,,,,,,,,,,,,,,,,
ZD111-01,18:57,13,,,3,1,2,1,,,22,31,18, ,,,,91,,,,,,,,,,,,,,,,,,,
ZD326,19:41,71,2,1,3,2,,5,,,9,6,3,19, ,,,121,,,,,,,,,,,,,,,,,,,
ZD192,20:02,36,,,,,,12,,,7,6,11,11,5, ,,88,,,,,,,,,,,,,,,,,,,
ZD250,20:25,49,2,1,,2,,2,4,1,11,2,11,28,3,, ,116,,,,,,,,,,,,,,,,,,,
ZD190-01,21:40,36,1,,4,1,,3,2,4,3,1,9,35,5,2,2,108,,,,,,,,,,,,,,,,,,,
上车人数合计,,441,22,14,43,32,13,81,22,7,64,52,52,93,13,2,2,953,,,,,,,,,,,,,,,,,,,
K10 ZD056—ZD190-01 开行 1 天 日均定员： 1122 客座率： 38.0 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD056,ZD169,ZD176,ZD115,ZD116,ZD263,ZD300,ZD146,ZD132,ZD102,ZD114,ZD289,ZD256,ZD025,ZD081,ZD098,ZD058,ZD253,ZD097,ZD286,ZD309,ZD292,ZD233,ZD111-01,ZD326,ZD192,ZD250,ZD062,下车人数合计,,,,,,,
下车站,开/到点,16:07,16:56,18:58,20:17,21:04,21:57,00:42,02:47,03:53,06:46,08:22,12:17,13:16,14:19,15:26,16:40,18:21,19:23,20:44,22:30,23:31,00:48,01:48,02:52,04:00,04:28,05:02,05:48,,,,,,,,
ZD056,16:07, ,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,
ZD169,16:54,8, ,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
ZD176,18:47,123,7, ,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,
ZD115,20:13,150,1,3, ,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,
ZD116,20:58,99,,20,4, ,,,,,,,,,,,,,,,,,,,,,,,,123,,,,,,,
ZD263,21:50,93,3,23,12,14, ,,,,,,,,,,,,,,,,,,,,,,,145,,,,,,,
ZD300,00:23,16,,1,4,12,10, ,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,
ZD146,02:35,52,,,,3,,24, ,,,,,,,,,,,,,,,,,,,,,79,,,,,,,
ZD132,03:46,6,,2,,2,3,3,2, ,,,,,,,,,,,,,,,,,,,,18,,,,,,,
ZD102,06:43,8,,3,1,,,11,1,1, ,,,,,,,,,,,,,,,,,,,25,,,,,,,
ZD114,08:13,1,,,,,,,,,, ,,,,,,,,,,,,,,,,,,1,,,,,,,
ZD289,12:12,5,,,,,,,,,,, ,,,,,,,,,,,,,,,,,5,,,,,,,
ZD256,13:10,2,,1,4,,2,1,,,,,20, ,,,,,,,,,,,,,,,,30,,,,,,,
ZD025,14:15,4,,,1,,,2,,1,,,6,34, ,,,,,,,,,,,,,,,48,,,,,,,
ZD081,15:14,4,1,3,6,,5,2,4,9,1,21,121,263,124, ,,,,,,,,,,,,,,564,,,,,,,
ZD098,16:36,6,,3,,,,2,1,6,8,2,24,69,20,237, ,,,,,,,,,,,,,378,,,,,,,
ZD058,18:08,3,,,,,,,,4,1,2,21,75,13,130,62, ,,,,,,,,,,,,311,,,,,,,
ZD253,19:20,,,,,,,,,2,1,1,5,23,1,98,18,13, ,,,,,,,,,,,162,,,,,,,
ZD097,20:41,3,,,,,,,,,,,13,7,3,29,9,25,8, ,,,,,,,,,,97,,,,,,,
ZD286,22:17,,,,,,1,1,,,1,,,3,3,15,3,15,7,68, ,,,,,,,,,117,,,,,,,
ZD309,23:28,1,,,,,,,,,,,,,1,3,1,10,2,7,31, ,,,,,,,,56,,,,,,,
ZD292,00:45,3,,,,,,1,,,,,1,,,4,3,,1,4,1,1, ,,,,,,,19,,,,,,,
ZD233,01:45,,,,,,,,,,,,,,2,,,,1,1,,,, ,,,,,,4,,,,,,,
ZD111-01,02:45,2,,,,,2,,,,,,,,8,6,12,1,11,16,2,3,3,2, ,,,,,68,,,,,,,
ZD326,03:58,4,,,,,,,,3,,,2,3,,11,7,4,8,5,13,5,4,1,8, ,,,,78,,,,,,,
ZD192,04:26,,,,1,,,,,1,,,1,,,1,1,2,1,9,10,2,3,,5,, ,,,37,,,,,,,
ZD250,05:00,5,,2,1,,,,,1,1,2,2,5,1,24,3,7,8,8,14,4,5,1,13,,1, ,,108,,,,,,,
ZD062,05:46,,,,,,,,,,,,,,,2,,3,1,3,2,3,,,5,,,17, ,36,,,,,,,
ZD190-01,07:00,7,,,2,,,,1,,1,,6,7,3,28,7,27,6,15,25,11,4,9,29,6,16,9,68,287,,,,,,,
上车人数合计,,605,12,61,36,31,23,47,9,28,14,28,222,489,179,588,126,107,54,136,98,29,19,13,60,6,17,26,68,3131,,,,,,,
K08 ZD170—ZD190-01 开行 1 天 日均定员： 1082 客座率： 37.7 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD170,ZD135,ZD187,ZD268,ZD105,ZD163,ZD058,ZD018,ZD208,ZD084,ZD112,ZD292,ZD233,ZD111-01,ZD326,ZD250,ZD143,下车人数合计,,,,,,,,,,,,,,,,,,
下车站,开/到点,14:38,16:00,17:08,17:38,18:01,18:54,21:41,23:07,23:53,01:12,02:34,03:28,04:27,06:20,07:39,08:52,10:30,,,,,,,,,,,,,,,,,,,
ZD170,14:38, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
ZD135,15:56,148, ,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,
ZD187,17:05,31,11, ,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,
ZD268,17:28,18,5,, ,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,
ZD105,17:58,6,8,,2, ,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,
ZD163,18:42,12,2,6,9,18, ,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,
ZD058,21:31,12,2,7,3,1,2, ,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,
ZD018,23:04,8,,4,,,3,7, ,,,,,,,,,,22,,,,,,,,,,,,,,,,,,
ZD208,23:51,11,3,1,4,1,,1,4, ,,,,,,,,,25,,,,,,,,,,,,,,,,,,
ZD084,01:04,2,2,1,1,2,,,,1, ,,,,,,,,9,,,,,,,,,,,,,,,,,,
ZD112,02:29,15,2,1,4,3,,3,5,,10, ,,,,,,,43,,,,,,,,,,,,,,,,,,
ZD292,03:04,24,2,1,,,,1,,,,3, ,,,,,,31,,,,,,,,,,,,,,,,,,
ZD233,04:25,18,2,2,2,3,1,4,16,,,1,, ,,,,,49,,,,,,,,,,,,,,,,,,
ZD111-01,06:12,58,12,3,4,11,1,34,10,2,21,8,1,2, ,,,,167,,,,,,,,,,,,,,,,,,
ZD326,07:33,43,9,2,2,11,5,24,9,4,9,7,,,13, ,,,138,,,,,,,,,,,,,,,,,,
ZD250,08:49,43,8,4,3,3,2,8,1,,5,2,4,,16,8, ,,107,,,,,,,,,,,,,,,,,,
ZD143,10:11,,,,,,,,,,,,,,16,8,3, ,27,,,,,,,,,,,,,,,,,,
ZD190-01,11:43,44,13,1,1,1,4,2,2,1,1,1,,,8,6,6,46,137,,,,,,,,,,,,,,,,,,
上车人数合计,,493,81,33,35,54,18,84,47,8,46,22,5,2,53,22,9,46,1058,,,,,,,,,,,,,,,,,,
T01 ZD212—ZD190-01 开行 1 天 日均定员： 1090 客座率： 67.8 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD212,ZD046,ZD107,ZD083,ZD156,ZD061,ZD170,ZD135,ZD163,ZD106,ZD058,ZD208,ZD084,ZD112,ZD292,ZD233,ZD111-01,ZD326,ZD192,ZD250,ZD062,ZD190-02,下车人数合计,,,,,,,,,,,,,
下车站,开/到点,07:35,08:23,09:07,10:00,11:02,13:52,18:07,19:26,21:32,22:41,23:56,01:30,02:33,03:53,04:46,05:40,06:43,08:11,08:37,09:09,09:50,10:46,,,,,,,,,,,,,,
ZD212,, ,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,
ZD046,08:18,19, ,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,
ZD107,09:02,6,16, ,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,
ZD083,09:58,12,10,14, ,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,
ZD156,10:56,7,14,80,40, ,,,,,,,,,,,,,,,,,,141,,,,,,,,,,,,,
ZD061,13:35,32,27,13,7,4, ,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,
ZD170,17:49,57,25,7,7,2,241, ,,,,,,,,,,,,,,,,339,,,,,,,,,,,,,
ZD135,19:18,15,7,,1,,18,42, ,,,,,,,,,,,,,,,83,,,,,,,,,,,,,
ZD163,21:29,1,,2,,,,,1, ,,,,,,,,,,,,,,4,,,,,,,,,,,,,
ZD106,22:39,13,59,17,1,,,,,, ,,,,,,,,,,,,,90,,,,,,,,,,,,,
ZD058,23:43,7,46,10,2,,2,6,2,1,, ,,,,,,,,,,,,76,,,,,,,,,,,,,
ZD208,01:27,4,72,,4,,1,2,,,,, ,,,,,,,,,,,83,,,,,,,,,,,,,
ZD084,02:27,2,7,2,,5,2,3,,,,,, ,,,,,,,,,,21,,,,,,,,,,,,,
ZD112,03:50,8,4,2,2,1,4,14,12,2,4,7,2,1, ,,,,,,,,,63,,,,,,,,,,,,,
ZD292,04:23,21,7,3,,3,7,9,4,,13,2,,,, ,,,,,,,,69,,,,,,,,,,,,,
ZD233,05:38,8,5,1,,,3,23,7,,10,4,,7,,1, ,,,,,,,69,,,,,,,,,,,,,
ZD111-01,06:34,29,11,7,,,7,101,26,4,9,10,,57,32,12,9, ,,,,,,314,,,,,,,,,,,,,
ZD326,08:08,8,2,7,1,2,8,45,15,4,8,5,,7,5,1,,3, ,,,,,121,,,,,,,,,,,,,
ZD192,08:34,3,,,,3,1,8,1,,2,1,1,1,3,2,3,5,8, ,,,,42,,,,,,,,,,,,,
ZD250,09:05,17,3,6,1,6,13,39,10,4,1,3,,6,9,5,2,4,7,20, ,,,156,,,,,,,,,,,,,
ZD062,09:47,2,,1,,,3,7,1,,,1,,,1,,2,4,4,7,46, ,,79,,,,,,,,,,,,,
ZD190-02,10:36,4,,,,,,2,,,,,,,1,,2,15,9,1,16,13, ,63,,,,,,,,,,,,,
ZD190-01,11:11,8,5,3,,2,11,36,18,2,18,2,,2,4,,3,19,20,18,31,46,3,251,,,,,,,,,,,,,
上车人数合计,,283,320,175,66,28,321,337,97,17,65,35,3,81,55,21,21,50,48,46,93,59,3,2224,,,,,,,,,,,,,
G26 ZD072—ZD190-01 开行 1 天 日均定员： 1005 客座率： 55.8 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD072,ZD352,ZD028,ZD088,ZD316,ZD271,ZD261,ZD164,ZD124,ZD155,ZD081,ZD099,ZD287,ZD308,ZD239,ZD231,ZD111-01,ZD326,ZD250,ZD062,下车人数合计,,,,,,,,,,,,,,,
下车站,开/到点,06:47,08:37,08:06,08:41,09:33,10:41,11:11,12:00,12:42,13:04,14:01,15:47,15:30,16:57,17:11,16:28,16:54,17:42,18:19,18:47,,,,,,,,,,,,,,,,
ZD072,, ,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,
ZD352,08:35,42, ,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,
ZD028,08:04,22,5, ,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,
ZD088,08:39,21,14,40, ,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,
ZD316,09:29,19,23,62,141, ,,,,,,,,,,,,,,,,245,,,,,,,,,,,,,,,
ZD271,10:39,10,,1,,15, ,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,
ZD261,11:06,12,5,2,13,40,69, ,,,,,,,,,,,,,,141,,,,,,,,,,,,,,,
ZD164,11:58,21,2,2,,7,,16, ,,,,,,,,,,,,,48,,,,,,,,,,,,,,,
ZD124,12:40,4,,,,,,,2,,,,,,,,,,,,,6,,,,,,,,,,,,,,,
ZD155,13:02,26,,,2,11,,9,,14, ,,,,,,,,,,,62,,,,,,,,,,,,,,,
ZD081,13:46,106,2,14,23,51,4,57,8,24,141, ,,,,,,,,,,430,,,,,,,,,,,,,,,
ZD099,15:44,15,,1,1,7,,9,3,,3,19, ,,,,,,,,,58,,,,,,,,,,,,,,,
ZD287,15:28,59,,4,7,12,,25,3,1,5,42,8, ,,,,,,,,166,,,,,,,,,,,,,,,
ZD308,16:55,14,2,1,4,4,,17,,,,8,3,3, ,,,,,,,56,,,,,,,,,,,,,,,
ZD239,17:10,5,,,1,5,,8,,,2,18,1,3,2, ,,,,,,45,,,,,,,,,,,,,,,
ZD231,16:27,10,,,1,4,,6,,,2,8,5,5,8,3, ,,,,,52,,,,,,,,,,,,,,,
ZD111-01,16:52,21,1,2,2,15,,33,1,,5,26,4,11,30,32,28, ,,,,211,,,,,,,,,,,,,,,
ZD326,17:41,8,,,,15,2,23,,,3,14,5,12,25,21,9,25, ,,,162,,,,,,,,,,,,,,,
ZD250,18:18,9,,5,1,3,,13,,,2,7,2,6,17,15,9,22,4, ,,115,,,,,,,,,,,,,,,
ZD062,18:46,2,,,,3,,2,,,1,16,2,3,,,2,19,3,10, ,63,,,,,,,,,,,,,,,
ZD190-01,19:37,9,,1,2,1,,10,1,,5,18,,5,17,17,12,79,10,12,8,207,,,,,,,,,,,,,,,
上车人数合计,,435,54,135,198,193,75,228,18,39,169,176,30,48,99,88,60,145,17,22,8,2237,,,,,,,,,,,,,,,
G28 ZD316—ZD190-01 开行 1 天 日均定员： 960 客座率： 50.1 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD316,ZD306,ZD030,ZD261,ZD089,ZD164,ZD155,ZD081,ZD221,ZD006,ZD287,ZD194,ZD231,ZD111-01,ZD326,ZD192,ZD250,下车人数合计,,,,,,,,,,,,,,,,,,
下车站,开/到点,08:02,08:37,09:01,09:41,10:11,10:31,11:29,12:27,12:51,13:16,13:58,14:49,15:10,15:37,16:21,16:42,17:05,,,,,,,,,,,,,,,,,,,
ZD316,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
ZD306,08:35,37, ,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,
ZD030,08:59,4,5,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
ZD261,09:37,31,8,100, ,,,,,,,,,,,,,,139,,,,,,,,,,,,,,,,,,
ZD089,10:09,1,,1,3, ,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
ZD164,10:29,5,,,16,1, ,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,
ZD155,11:27,7,5,1,3,,, ,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,
ZD081,12:12,52,14,6,53,3,5,109, ,,,,,,,,,,242,,,,,,,,,,,,,,,,,,
ZD221,12:49,,,,1,,,,26, ,,,,,,,,,27,,,,,,,,,,,,,,,,,,
ZD006,13:12,11,,,13,,1,11,147,14, ,,,,,,,,197,,,,,,,,,,,,,,,,,,
ZD287,13:54,17,14,2,24,,1,11,73,3,7, ,,,,,,,152,,,,,,,,,,,,,,,,,,
ZD194,14:48,2,,,3,,3,2,20,,3,5, ,,,,,,38,,,,,,,,,,,,,,,,,,
ZD231,15:08,5,5,,8,,,,7,,2,9,20, ,,,,,56,,,,,,,,,,,,,,,,,,
ZD111-01,15:34,20,2,1,11,,,,35,,1,17,73,41, ,,,,201,,,,,,,,,,,,,,,,,,
ZD326,16:19,14,3,2,19,,,,13,,1,17,31,10,33, ,,,143,,,,,,,,,,,,,,,,,,
ZD192,16:40,7,3,4,4,,,1,17,,,11,7,14,120,15, ,,203,,,,,,,,,,,,,,,,,,
ZD250,17:03,17,3,,11,,,4,12,,11,23,44,23,24,7,75, ,254,,,,,,,,,,,,,,,,,,
ZD190-01,18:19,6,3,,30,2,1,4,22,,6,25,81,52,35,11,52,24,354,,,,,,,,,,,,,,,,,,
